number,name,diameter_km,H,G,epoch_tdb,e,a,i,node,peri,M,class,soln_date,U
143,Adria,95.377,9.32,,2461200.5,.07089886155123082,2.763630761904521,11.45312128850703,332.8435805429094,252.0725921461613,279.9062959002488,MBA,2026-06-05,0
144,Vibilia,142.38,8.05,0.17,2461200.5,.2354486193970834,2.653896324305735,4.815787885605129,76.16565772217893,294.3998657576199,240.1866410924046,MBA,2026-06-05,0
145,Adeona,127.783,8.40,,2461200.5,.1476268606648753,2.671124122618039,12.62136232635715,77.32012880654763,45.26379494555593,324.4759812506845,MBA,2026-06-05,0
146,Lucina,160.310,8.50,0.11,2461200.5,.06393247507303863,2.720738527049551,13.08806900337641,83.90944357184125,145.3575573794755,271.3382039874103,MBA,2026-06-05,0
147,Protogeneia,132.93,8.72,,2461200.5,.02181666767506187,3.136579669806565,1.932903811816409,248.1925799847745,103.4483320425058,8.77450383797968,MBA,2026-06-05,0
148,Gallia,97.75,7.58,,2461200.5,.1877151599664548,2.770531882788834,25.28912648524657,144.9496604342665,252.4006562986237,200.180563251217,MBA,2026-06-05,0
149,Medusa,23.719,10.54,,2461200.5,.06483264928606955,2.174678312039117,.9402878633648374,159.6061673998659,250.7117360357736,306.8939042471466,MBA,2026-06-05,0
150,Nuwa,119.128,8.58,,2461200.5,.1244188340409517,2.987576478265623,2.200455781254973,205.9755105382103,155.0138557691212,102.8610236966658,MBA,2026-06-05,0
151,Abundantia,39.037,9.32,,2461200.5,.03614032532642043,2.591405049326536,6.431134763192145,38.72338371192669,131.9045569069154,271.2873055977777,MBA,2026-06-05,0
152,Atala,58.964,8.36,,2461200.5,.08281166584529963,3.136344274999039,12.1246869840799,39.86237303338741,59.25273256878273,331.1330291158661,MBA,2026-06-05,0
153,Hilda,170.63,7.73,,2461200.5,.1384847714022829,3.968376768101129,7.831389294038131,228.0800257005049,39.0661557941409,138.7461320041192,OMB,2026-06-05,0
154,Bertha,192.611,7.65,,2461200.5,.07717097699588374,3.19369621374057,21.02089122326955,36.47777207946442,168.0207273851514,17.11742089542032,MBA,2026-06-05,0
155,Scylla,39.605,11.15,,2461200.5,.2727794641705923,2.760642912399381,11.35943254115822,40.5206526850583,46.89367661887337,286.8688051897724,MBA,2026-03-11,0
156,Xanthippe,143.346,8.80,,2461200.5,.2215476342737243,2.732662030010368,9.762678147377084,241.7033027320759,338.9673379558683,329.1304612772541,MBA,2026-06-05,0
157,Dejanira,19.959,11.18,,2461200.5,.1978255975279526,2.579619081407338,12.16017811822044,62.02500892273543,46.06522557298645,88.29510801039659,MBA,2026-06-05,0
158,Koronis,39.025,9.32,,2461200.5,.05371702297731352,2.868732356988836,1.005618864673534,277.6458942221435,147.68536466,20.32255826969589,MBA,2026-06-05,0
159,Aemilia,125.236,8.27,,2461200.5,.09924810124666934,3.10869348052356,6.114438282627158,133.8527630137048,333.8227976995258,141.7458217450973,MBA,2026-06-05,0
160,Una,81.24,9.10,,2461200.5,.06542061172109946,2.72812642584641,3.818555954419989,8.53550062285783,50.15185813794455,214.9138569045673,MBA,2026-07-15,0
161,Athor,40.992,9.29,0.13,2461200.5,.13806611006598,2.379118951233352,9.053552676786131,18.42088693006564,295.4846748656034,234.9791842911155,MBA,2026-06-05,0
162,Laurentia,97.021,9.09,,2461200.5,.1831716030003783,3.013648615985076,6.092721309224207,35.41913887370834,115.6926171571369,258.0080049472983,MBA,2026-06-05,0
163,Erigone,81.579,9.77,-0.04,2461200.5,.1918608784872625,2.366958465938368,4.815115996598907,160.0017491900433,298.4772599466504,174.3635205562756,MBA,2026-06-05,0
164,Eva,100.254,8.77,,2461200.5,.346248761796944,2.632780374738609,24.47309767415978,76.77958491361835,284.0069754140225,330.5937636424125,MBA,2026-06-05,0
